PWM1,PWM2,PWM3,PWM4,Airspeed,Throttle,ClimbRate,Current,Voltage,Power,Roll,Pitch,Yaw
1100,1100,1100,1100,0.0106994090601802,0,-5.41754270670936E-05,0,12.6,0,0.00260966899804771,0.00239950115792453,-0.100702181458473
1100,1100,1100,1100,0.0106994090601802,0,-5.41754270670936E-05,0,12.6,0,0.00260966899804771,0.00239950115792453,-0.100702181458473
1100,1100,1100,1100,0.0123613523319364,0,-6.63841419736855E-05,0,12.6,0,0.00268460274673998,0.00248014274984598,-0.100754931569099
1100,1100,1100,1100,0.0123613523319364,0,-6.63841419736855E-05,0,12.6,0,0.00268460274673998,0.00248014274984598,-0.100754931569099
1100,1100,1100,1100,0.0139700463041663,0,-7.65865042922087E-05,0,12.6,0,0.00275636650621891,0.0025575237814337,-0.100816197693348
1100,1100,1100,1100,0.0139700463041663,0,-7.65865042922087E-05,0,12.6,0,0.00275636650621891,0.0025575237814337,-0.100816197693348
1100,1100,1100,1100,0.0154772708192468,0,-7.88457182352431E-05,0,12.6,0,0.00282601732760668,0.00263183447532356,-0.100868031382561
1100,1100,1100,1100,0.0154772708192468,0,-7.88457182352431E-05,0,12.6,0,0.00282601732760668,0.00263183447532356,-0.100868031382561
1100,1100,1100,1100,0.0170012135058641,0,-5.82734828640241E-05,0,12.6,0,0.00289758737199008,0.00269832904450595,-0.100927516818047
1100,1100,1100,1100,0.0170012135058641,0,-5.82734828640241E-05,0,12.6,0,0.00289758737199008,0.00269832904450595,-0.100927516818047
1100,1100,1100,1100,0.0185793992131948,0,-0.000142822973430157,0,12.6,0,0.00295753194950521,0.00276173208840191,-0.100987434387207
1100,1100,1100,1100,0.0185793992131948,0,-0.000142822973430157,0,12.6,0,0.00295753194950521,0.00276173208840191,-0.100987434387207
1100,1100,1100,1100,0.0200258903205395,0,-0.000149295417941175,0,12.6,0,0.00301920855417848,0.00282103777863085,-0.101050578057766
1100,1100,1100,1100,0.0200258903205395,0,-0.000149295417941175,0,12.6,0,0.00301920855417848,0.00282103777863085,-0.101050578057766
1100,1100,1100,1100,0.0213028192520142,0,-8.34620368550532E-05,0,12.6,0,0.00306944246403873,0.00287759932689369,-0.101106457412243
1100,1100,1100,1100,0.0213028192520142,0,-8.34620368550532E-05,0,12.6,0,0.00306944246403873,0.00287759932689369,-0.101106457412243
1100,1100,1100,1100,0.0227393805980682,0,-7.94674633652903E-05,0,12.6,0,0.00312040047720075,0.00292505812831223,-0.101172462105751
1100,1100,1100,1100,0.0227393805980682,0,-7.94674633652903E-05,0,12.6,0,0.00312040047720075,0.00292505812831223,-0.101172462105751
1100,1100,1100,1100,0.0241381078958511,0,-5.66678590985248E-06,0,12.6,0,0.00316386483609676,0.00296890642493963,-0.101228572428226
1100,1100,1100,1100,0.0241381078958511,0,-5.66678590985248E-06,0,12.6,0,0.00316386483609676,0.00296890642493963,-0.101228572428226
1100,1100,1100,1100,0.0253170635551214,0,-3.51629096257966E-05,0,12.6,0,0.00320063997060061,0.00300534279085696,-0.101298280060291
1100,1100,1100,1100,0.0253170635551214,0,-3.51629096257966E-05,0,12.6,0,0.00320063997060061,0.00300534279085696,-0.101298280060291
1100,1100,1100,1100,0.0262793749570847,0,-3.05334979202598E-05,0,12.6,0,0.00322207971476018,0.00302799534983933,-0.101367063820362
1100,1100,1100,1100,0.0262793749570847,0,-3.05334979202598E-05,0,12.6,0,0.00322207971476018,0.00302799534983933,-0.101367063820362
1100,1100,1100,1100,0.0272516794502735,0,0.00010212768393103,0,12.6,0,0.00323941861279309,0.00304853287525475,-0.101426631212235
1100,1100,1100,1100,0.0272516794502735,0,0.00010212768393103,0,12.6,0,0.00323941861279309,0.00304853287525475,-0.101426631212235
1111,1111,1111,1111,0.02832923643291,0,1.2541949217848E-05,0,12.6,0,0.00325773004442453,0.00306951021775603,-0.101487323641777
1111,1111,1111,1111,0.02832923643291,0,1.2541949217848E-05,0,12.6,0,0.00325773004442453,0.00306951021775603,-0.101487323641777
1265,1262,1263,1266,0.0292126294225454,5,2.41915495280409E-05,1.82,12.6,22.932,0.00326551753096283,0.00308065209537745,-0.101556949317455
1265,1262,1263,1266,0.0292126294225454,5,2.41915495280409E-05,1.82,12.6,22.932,0.00326551753096283,0.00308065209537745,-0.101556949317455
1427,1425,1425,1427,0.0297025088220835,18,8.52059820317663E-05,13.51,12.6,170.226,0.00325731281191111,0.00308074825443327,-0.101619347929955
1427,1425,1425,1427,0.0297025088220835,18,8.52059820317663E-05,13.51,12.6,170.226,0.00325731281191111,0.00308074825443327,-0.101619347929955
1548,1546,1546,1548,0.0302272606641054,30,7.22225377103314E-05,21.36,12.6,269.136,0.00325371464714408,0.00307673588395119,-0.101687647402287
1548,1546,1546,1548,0.0302272606641054,30,7.22225377103314E-05,21.36,12.6,269.136,0.00325371464714408,0.00307673588395119,-0.101687647402287
1619,1615,1615,1619,0.0807595923542976,39,0.0745123475790024,30.42,12.6,383.292,0.00325055001303554,0.00307757360860705,-0.10175147652626
1619,1615,1615,1619,0.0807595923542976,39,0.0745123475790024,30.42,12.6,383.292,0.00325055001303554,0.00307757360860705,-0.10175147652626
1657,1652,1652,1657,0.213936164975166,44,0.211516290903091,33.36,12.6,420.336,0.00323723186738789,0.00306484801694751,-0.101805508136749
1657,1652,1652,1657,0.213936164975166,44,0.211516290903091,33.36,12.6,420.336,0.00323723186738789,0.00306484801694751,-0.101805508136749
1703,1698,1698,1703,0.356666892766953,50,0.355176091194153,39.07,12.6,492.282,0.00320729869417846,0.00303452927619219,-0.101864650845528
1703,1698,1698,1703,0.356666892766953,50,0.355176091194153,39.07,12.6,492.282,0.00320729869417846,0.00303452927619219,-0.101864650845528
1526,1527,1527,1526,1.21567845344543,28,1.21541059017181,24.69,12.6,311.094,-0.00333568500354886,-0.00340613652952015,-0.101882711052895
1526,1527,1527,1526,1.21567845344543,28,1.21541059017181,24.69,12.6,311.094,-0.00333568500354886,-0.00340613652952015,-0.101882711052895
1613,1613,1613,1613,1.15647494792938,39,1.15646421909332,29.67,12.6,373.842,-0.00287314876914024,-0.00289101386442781,-0.101849891245365
1613,1613,1613,1613,1.15647494792938,39,1.15646421909332,29.67,12.6,373.842,-0.00287314876914024,-0.00289101386442781,-0.101849891245365
1631,1631,1631,1631,1.26356554031372,41,1.26353812217712,32.16,12.6,405.216,0.00100550195202231,0.000769158301409334,-0.101812578737736
1631,1631,1631,1631,1.26356554031372,41,1.26353812217712,32.16,12.6,405.216,0.00100550195202231,0.000769158301409334,-0.101812578737736
1631,1632,1631,1631,1.51365625858307,41,1.51363956928253,32.02,12.6,403.452,0.00390098849311471,0.00357424048706889,-0.101796917617321
1631,1632,1631,1631,1.51365625858307,41,1.51363956928253,32.02,12.6,403.452,0.00390098849311471,0.00357424048706889,-0.101796917617321
1626,1626,1626,1626,1.73895275592804,40,1.73895144462585,32.09,12.6,404.334,0.00552314287051559,0.00487862527370453,-0.101764678955078
1626,1626,1626,1626,1.73895275592804,40,1.73895144462585,32.09,12.6,404.334,0.00552314287051559,0.00487862527370453,-0.101764678955078
1605,1605,1605,1605,1.78851056098938,38,1.78846251964569,29.47,12.6,371.322,0.00607589771971107,0.00556536670774221,-0.101786091923714
1605,1605,1605,1605,1.78851056098938,38,1.78846251964569,29.47,12.6,371.322,0.00607589771971107,0.00556536670774221,-0.101786091923714
1593,1593,1593,1593,1.70852327346802,36,1.70835781097412,28.4,12.6,357.84,0.00626902095973492,0.00577431172132492,-0.10179203748703
1593,1593,1593,1593,1.70852327346802,36,1.70835781097412,28.4,12.6,357.84,0.00626902095973492,0.00577431172132492,-0.10179203748703
1586,1586,1586,1586,1.56428158283234,35,1.56392586231232,27.61,12.6,347.886,0.00584600958973169,0.00564658176153898,-0.129234150052071
1586,1586,1586,1586,1.56428158283234,35,1.56392586231232,27.61,12.6,347.886,0.00584600958973169,0.00564658176153898,-0.129234150052071
1583,1583,1583,1583,1.39953649044037,35,1.39892590045929,27.39,12.6,345.114,0.005314776673913,0.00515427440404892,-0.129088863730431
1583,1583,1583,1583,1.39953649044037,35,1.39892590045929,27.39,12.6,345.114,0.005314776673913,0.00515427440404892,-0.129088863730431
1582,1582,1583,1582,1.23624229431152,35,1.23534047603607,27.25,12.6,343.35,0.00459125032648444,0.00437614694237709,-0.128721043467522
1582,1582,1583,1582,1.23624229431152,35,1.23534047603607,27.25,12.6,343.35,0.00459125032648444,0.00437614694237709,-0.128721043467522
1582,1582,1582,1582,1.08177947998047,35,1.08064949512482,27.24,12.6,343.224,0.00405835779383779,0.00328382523730397,-0.12869618833065
1582,1582,1582,1582,1.08177947998047,35,1.08064949512482,27.24,12.6,343.224,0.00405835779383779,0.00328382523730397,-0.12869618833065
1581,1582,1582,1582,0.938661336898804,35,0.937410116195679,27.23,12.6,343.098,0.00305878208018839,0.00284209568053484,-0.128548592329025
1581,1582,1582,1582,0.938661336898804,35,0.937410116195679,27.23,12.6,343.098,0.00305878208018839,0.00284209568053484,-0.128548592329025
1581,1581,1581,1581,0.801073133945465,35,0.799820959568024,27.17,12.6,342.342,0.00254988367669284,0.00247166492044926,-0.128613322973251
1581,1581,1581,1581,0.801073133945465,35,0.799820959568024,27.17,12.6,342.342,0.00254988367669284,0.00247166492044926,-0.128613322973251
1579,1579,1579,1579,0.665449559688568,35,0.664234042167664,27.06,12.6,340.956,0.00245818332768977,0.00278814998455346,-0.128649085760117
1579,1579,1579,1579,0.665449559688568,35,0.664234042167664,27.06,12.6,340.956,0.00245818332768977,0.00278814998455346,-0.128649085760117
1578,1577,1577,1578,0.526652693748474,34,0.525352895259857,26.9,12.6,338.94,0.00317273125983775,0.0032898960635066,-0.128660514950752
1578,1577,1577,1578,0.526652693748474,34,0.525352895259857,26.9,12.6,338.94,0.00317273125983775,0.0032898960635066,-0.128660514950752
1574,1574,1575,1575,0.378880649805069,34,0.3772813975811,26.63,12.6,335.538,0.00312055321410298,0.00352632976137102,-0.128674373030663
1574,1574,1575,1575,0.378880649805069,34,0.3772813975811,26.63,12.6,335.538,0.00312055321410298,0.00352632976137102,-0.128674373030663
1576,1576,1576,1576,0.214831247925758,34,0.212380826473236,26.3,12.6,331.38,0.00180741015356034,0.00200519221834838,-0.128749877214432
1576,1576,1576,1576,0.214831247925758,34,0.212380826473236,26.3,12.6,331.38,0.00180741015356034,0.00200519221834838,-0.128749877214432
1609,1609,1609,1609,0.208888024091721,38,0.207686126232147,29.61,12.6,373.086,-0.000119474774692208,0.000582352222409099,-0.128828674554825
1609,1609,1609,1609,0.208888024091721,38,0.207686126232147,29.61,12.6,373.086,-0.000119474774692208,0.000582352222409099,-0.128828674554825
1627,1626,1627,1626,0.439422428607941,41,0.439146667718887,31.35,12.6,395.01,0.001258609816432,0.0019763836171478,-0.128904640674591
1627,1626,1627,1626,0.439422428607941,41,0.439146667718887,31.35,12.6,395.01,0.001258609816432,0.0019763836171478,-0.128904640674591
1633,1633,1633,1633,0.737289965152741,41,0.737156271934509,32.19,12.6,405.594,0.0023321071639657,0.00268157268874347,-0.128929987549782
1633,1633,1633,1633,0.737289965152741,41,0.737156271934509,32.19,12.6,405.594,0.0023321071639657,0.00268157268874347,-0.128929987549782
1635,1635,1635,1635,1.04535698890686,42,1.0452516078949,32.48,12.6,409.248,0.00269248289987445,0.00268783909268677,-0.128936544060707
1635,1635,1635,1635,1.04535698890686,42,1.0452516078949,32.48,12.6,409.248,0.00269248289987445,0.00268783909268677,-0.128936544060707
1636,1636,1636,1636,1.33774673938751,42,1.3376590013504,32.52,12.6,409.752,0.0027683146763593,0.00263974699191749,-0.128950759768486
1636,1636,1636,1636,1.33774673938751,42,1.3376590013504,32.52,12.6,409.752,0.0027683146763593,0.00263974699191749,-0.128950759768486
1636,1637,1637,1637,1.60981404781342,42,1.6097354888916,32.56,12.6,410.256,0.00281433691270649,0.00267272838391364,-0.128958106040955
1636,1637,1637,1637,1.60981404781342,42,1.6097354888916,32.56,12.6,410.256,0.00281433691270649,0.00267272838391364,-0.128958106040955
1638,1638,1638,1638,1.86448466777802,42,1.86441648006439,32.66,12.6,411.516,0.00278088729828596,0.00246985233388841,-0.128927230834961
1638,1638,1638,1638,1.86448466777802,42,1.86441648006439,32.66,12.6,411.516,0.00278088729828596,0.00246985233388841,-0.128927230834961
1641,1640,1640,1640,2.10682892799377,43,2.10676646232605,32.83,12.6,413.658,0.00299735902808607,0.00251087779179215,-0.128921672701836
1641,1640,1640,1640,2.10682892799377,43,2.10676646232605,32.83,12.6,413.658,0.00299735902808607,0.00251087779179215,-0.128921672701836
1644,1643,1644,1643,2.34455990791321,43,2.34450483322144,33.08,12.6,416.808,0.00268691848032177,0.00190845353063196,-0.128965303301811
1644,1643,1644,1643,2.34455990791321,43,2.34450483322144,33.08,12.6,416.808,0.00268691848032177,0.00190845353063196,-0.128965303301811
1647,1647,1647,1647,2.58236718177795,43,2.58232426643372,33.35,12.6,420.21,0.00226747430860996,0.00184889510273933,-0.12898263335228
