PWM1,PWM2,PWM3,PWM4,RPM1,RPM2,RPM3,RPM4,Airspeed,Throttle,ClimbRate,Current,Voltage,Power,Roll,Pitch,Yaw,AltitudeMSL,AirPressure
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.00832048431038857,0,8.09085322543979E-05,0,12.6,0,0.00223855627700686,0.00204595201648772,-0.089857392013073,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.00832048431038857,0,8.09085322543979E-05,0,12.6,0,0.00223855627700686,0.00204595201648772,-0.089857392013073,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.00979418214410543,0,-8.97058544069296E-06,0,12.6,0,0.00231523858383298,0.0021213770378381,-0.0900388062000275,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.00979418214410543,0,-8.97058544069296E-06,0,12.6,0,0.00231523858383298,0.0021213770378381,-0.0900388062000275,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0111806830391288,0,9.83415338851046E-06,0,12.6,0,0.00238216714933515,0.0021920136641711,-0.0902310982346535,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0111806830391288,0,9.83415338851046E-06,0,12.6,0,0.00238216714933515,0.0021920136641711,-0.0902310982346535,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0126773715019226,0,4.34681023762096E-05,0,12.6,0,0.00245582824572921,0.00226408476009965,-0.0904114916920662,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0126773715019226,0,4.34681023762096E-05,0,12.6,0,0.00245582824572921,0.00226408476009965,-0.0904114916920662,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0141843482851982,0,6.34497991995886E-05,0,12.6,0,0.00252656475640833,0.00232974416576326,-0.0906102582812309,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0141843482851982,0,6.34497991995886E-05,0,12.6,0,0.00252656475640833,0.00232974416576326,-0.0906102582812309,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0157861802726984,0,-8.46970488055376E-06,0,12.6,0,0.0025891566183418,0.00239575398154557,-0.0907961502671242,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0157861802726984,0,-8.46970488055376E-06,0,12.6,0,0.0025891566183418,0.00239575398154557,-0.0907961502671242,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0171042084693909,0,-8.55750331538729E-05,0,12.6,0,0.00264700595289469,0.00245058326981962,-0.0909966230392456,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0171042084693909,0,-8.55750331538729E-05,0,12.6,0,0.00264700595289469,0.00245058326981962,-0.0909966230392456,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0183528233319521,0,-5.52053415958653E-06,0,12.6,0,0.00269537139683962,0.00250364374369383,-0.0911898016929627,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0183528233319521,0,-5.52053415958653E-06,0,12.6,0,0.00269537139683962,0.00250364374369383,-0.0911898016929627,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0197444446384907,0,-0.000127969382447191,0,12.6,0,0.00274170748889446,0.00255029578693211,-0.0913987159729004,584.080017089844,945.028259277344
1100,1100,1100,1100,-3101.90690212665,-3101.90690212665,-3101.90690212665,-3101.90690212665,0.0197444446384907,0,-0.000127969382447191,0,12.6,0,0.00274170748889446,0.00255029578693211,-0.0913987159729004,584.080017089844,945.028259277344
1163,1159,1160,1164,-3065.92096092869,-3075.37825628363,-3073.10015156903,-3063.41348925958,0.0211217273026705,0,-0.000201886592549272,0,12.6,0,0.00279068620875478,0.002599275438115,-0.0915888249874115,584.080017089844,945.028259277344
1163,1159,1160,1164,-3065.92096092869,-3075.37825628363,-3073.10015156903,-3063.41348925958,0.0211217273026705,0,-0.000201886592549272,0,12.6,0,0.00279068620875478,0.002599275438115,-0.0915888249874115,584.080017089844,945.028259277344
1365,1362,1363,1365,-1627.3012416756,-1659.11750136205,-1648.53607772233,-1627.3012416756,0.0220939666032791,13,-0.000221459456952289,9.81,12.6,123.606,0.00282990303821862,0.00263526174239814,-0.0917856395244598,584.080017089844,945.028259277344
1365,1362,1363,1365,-1627.3012416756,-1659.11750136205,-1648.53607772233,-1627.3012416756,0.0220939666032791,13,-0.000221459456952289,9.81,12.6,123.606,0.00282990303821862,0.00263526174239814,-0.0917856395244598,584.080017089844,945.028259277344
